,20200929,20201002,20201022,20201023,20201120,20201122,20201224,20201230,20210127,20210203,20210906
待,,,2.0,,,3.0,,,,2.0,1.0
後,,1.0,3.0,3.0,,,3.0,2.0,,,1.0
従,,,,,,,,,,1.0,
得,1.0,2.0,,,1.0,,1.0,1.0,1.0,,
御,,,,,,,,1.0,,,
復,,1.0,,,1.0,,1.0,,,1.0,2.0
循,1.0,,,,,,,,,,
徳,,,,,,,,,,1.0,
心,,2.0,1.0,2.0,1.0,,3.0,,1.0,,1.0
必,,2.0,1.0,1.0,1.0,,,,,,1.0
志,,,,,1.0,,,,,,
忘,,,,,,,1.0,1.0,,,
応,1.0,,,,2.0,,2.0,1.0,1.0,1.0,
忠,,1.0,,1.0,,,,,,,
快,,,1.0,1.0,,,,,,1.0,
念,2.0,,2.0,,2.0,,1.0,,,,
思,,3.0,,1.0,1.0,1.0,1.0,1.0,,,
急,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,3.0,
性,,5.0,,,3.0,5.0,3.0,,1.0,5.0,2.0
恐,,,1.0,,,,,,,,
恨,,,,,,,,2.0,,,
恩,,,,1.0,,,,,,,
息,,,,,,,,,,1.0,
恵,1.0,1.0,,1.0,,,,,,,
患,,,,,,,1.0,,,,
悩,,,,,,1.0,,,,,
悪,,,2.0,,,,,,,1.0,
情,,,,2.0,,,1.0,,,,
惨,,,,,,,,,,,1.0
想,,3.0,,1.0,,,,,1.0,,
意,,,,1.0,,2.0,3.0,1.0,2.0,1.0,
愚,,,,,,,,,,1.0,
愛,1.0,,1.0,,,,1.0,1.0,,,
感,4.0,4.0,2.0,7.0,5.0,3.0,7.0,3.0,8.0,3.0,2.0
態,,1.0,1.0,1.0,,,,,,2.0,
慎,,,,,,,1.0,,,,
懲,,,,,,,1.0,,,,
懸,1.0,,1.0,,1.0,,1.0,,,,
成,1.0,1.0,4.0,2.0,,,1.0,2.0,,,
戒,,,3.0,,1.0,,1.0,,2.0,,
戦,,1.0,3.0,4.0,1.0,1.0,,2.0,3.0,,2.0
戯,,,1.0,,,,,,,,
戸,,1.0,,,,1.0,,,,,
所,,3.0,,2.0,1.0,1.0,1.0,1.0,,2.0,1.0
扉,,,,,,,,,,,1.0
手,3.0,1.0,2.0,1.0,1.0,3.0,,2.0,,,
打,,,,,,,,2.0,1.0,,
払,,,,,,,,,1.0,,
扱,,,,,1.0,,,,,,
批,,,,,,,,,,2.0,
承,,1.0,1.0,,,1.0,,,,,
技,,,,,,1.0,,1.0,2.0,,1.0
抑,,,,,,,,,,,1.0
投,4.0,,,1.0,,1.0,,2.0,,,3.0
抗,3.0,,,,,2.0,1.0,,,,
抜,,,1.0,1.0,,1.0,1.0,,1.0,,
択,,,,1.0,,,,,,,1.0
抵,,,,,,1.0,,,,,
押,,,1.0,,,,,,,,1.0
担,,,,,1.0,,1.0,,,1.0,
拓,,1.0,,,,,,,,,
拙,,,,,1.0,,,,,,
招,,,,,,,,,,1.0,
拠,,,,,1.0,,,,,,
拡,,1.0,1.0,2.0,4.0,1.0,,1.0,,,1.0
括,,,,,,1.0,,,,,
持,,,1.0,,,1.0,1.0,,,2.0,
指,1.0,2.0,,2.0,1.0,,3.0,,1.0,,
挑,,,1.0,1.0,,2.0,1.0,1.0,,,
挙,,1.0,,1.0,,,,,,,
振,,,,2.0,,1.0,1.0,1.0,,,
挽,,,,,,,1.0,,,,
捉,,,1.0,,,,,,1.0,,
捕,,,,,,,,,1.0,,
捜,,,,,,,1.0,,,,
捨,,,,,,1.0,,,,,1.0
据,,,,,,,,,,1.0,
掃,,,,,,,,,2.0,,
授,1.0,,,,,,,2.0,,,
排,,,,,1.0,1.0,,,,,
掛,,,,,,1.0,,,,,
採,,,,,,,1.0,,,,2.0
探,,,1.0,,2.0,,,,,,
接,3.0,,1.0,,,1.0,1.0,,5.0,3.0,2.0
控,,,1.0,,,,,,,,
推,,,,2.0,,,1.0,,,1.0,
描,,,,,,,,,1.0,,
提,,,2.0,2.0,,1.0,2.0,,,,
換,,,2.0,,,2.0,,,,,
援,,,,,,,2.0,2.0,,,2.0
揺,,,,1.0,,,,1.0,,2.0,
損,,,,,,,,,,2.0,
携,2.0,1.0,2.0,2.0,,1.0,2.0,,,,1.0
摘,,1.0,,1.0,,,,,,,
撃,,,1.0,2.0,2.0,,,,,,
撤,,,,,,,,,1.0,1.0,
操,,,,2.0,,,,,,,
支,,,1.0,,,,2.0,3.0,,1.0,2.0
改,,1.0,,2.0,1.0,3.0,3.0,3.0,2.0,2.0,
攻,1.0,,1.0,,1.0,,,,,,
放,,1.0,2.0,,,,,,,,
政,,,4.0,5.0,1.0,1.0,5.0,5.0,1.0,3.0,
救,,,,,,,,,,1.0,
敗,,,,,1.0,2.0,,,,,
教,2.0,4.0,,,1.0,1.0,1.0,3.0,,2.0,
散,1.0,1.0,,1.0,,,,,,,
敬,,,,,,1.0,,,,,
数,1.0,,,1.0,,4.0,2.0,,1.0,2.0,
整,1.0,,,1.0,1.0,2.0,,1.0,,,
敵,,,,,,1.0,,,,,
文,1.0,,,2.0,,,1.0,,,,
斉,,,,,,,1.0,,,,
料,1.0,,1.0,,4.0,2.0,1.0,1.0,,,1.0
断,2.0,1.0,3.0,,,2.0,2.0,1.0,1.0,1.0,
新,7.0,5.0,7.0,7.0,7.0,7.0,3.0,7.0,6.0,8.0,5.0
方,,2.0,1.0,2.0,,1.0,1.0,4.0,1.0,,3.0
施,,,,1.0,1.0,,,,2.0,,
旅,,,,,,,4.0,,2.0,,
日,9.0,6.0,7.0,6.0,9.0,5.0,4.0,6.0,6.0,4.0,5.0
旧,,1.0,,,,,,,,,
旨,1.0,,,,,,,,,,
早,2.0,1.0,1.0,,,,,,,,
旬,1.0,,,1.0,,,,,,,
昇,,,,,,1.0,1.0,1.0,1.0,1.0,
明,,1.0,,3.0,3.0,,1.0,,,,1.0
易,,,,,,,1.0,,,1.0,
星,,,,1.0,,,,,,,
映,,,,,,,,1.0,,,
春,,,1.0,,,,,,4.0,,
昨,1.0,,,,,,,,,,
昭,,1.0,,,,,,,,,
時,4.0,2.0,2.0,,2.0,7.0,2.0,1.0,3.0,2.0,3.0
普,,,1.0,,,,,,1.0,2.0,
景,,,,2.0,3.0,,,,,,
晴,,1.0,,,,,,,,,
暇,,1.0,1.0,1.0,,,,,,,1.0
暉,,,,,,,,1.0,,,
暖,,,,,,1.0,,,,,
暗,,,,,1.0,,,,1.0,,
暮,,,,,,,,,,1.0,
曲,,,1.0,,,,,,,,
更,,,1.0,,1.0,,,,1.0,,
